compound,ABL1,AKT1,AKT2,AurA,BARK1,BRAF,BTK,CDC2,CDK2,CDK4,CDK6,CHK1,CHK2,CK1d,EGFR,Erk1,Erk2,FGFR1,FLT3,GPRK5,GSK3B,JAK2-b,JNK1,KDR,MAP2K1,MET,MRCKb,NDR1,PDK1,PKACa,PKCh,PKCi,PKCt,PKG1,PKN1,PLK1,ROCK1,ROCK2,RSK2,SRC,YANK1,p38a,p70S6K
BX912,6.826666666666667,6.56,6.556666666666668,7.403333333333333,6.473333333333334,6.993333333333333,7.053333333333334,6.81,6.936666666666667,7.010000000000001,6.846666666666667,6.739999999999999,6.793333333333333,6.286666666666666,6.88,6.46,6.843333333333334,7.043333333333333,6.973333333333334,6.696666666666666,6.733333333333333,6.98,6.826666666666667,6.956666666666667,6.8,6.906666666666666,6.443333333333334,6.536666666666666,6.8933333333333335,6.66,6.586666666666666,6.613333333333333,6.933333333333334,6.640000000000001,6.806666666666668,6.733333333333333,6.84,6.993333333333333,6.94,6.883333333333333,6.913333333333333,6.906666666666666,6.873333333333334
EL2003A,6.736666666666667,6.653333333333333,6.56,7.359999999999999,6.353333333333333,6.75,6.739999999999999,6.716666666666666,6.69,6.966666666666666,6.853333333333333,6.6433333333333335,6.84,6.353333333333333,6.8933333333333335,6.4,6.613333333333333,6.793333333333333,7.16,6.476666666666667,6.543333333333333,6.88,6.456666666666666,6.9,6.796666666666667,6.890000000000001,6.633333333333333,6.593333333333334,6.473333333333334,6.586666666666666,6.453333333333333,6.516666666666667,6.766666666666667,6.786666666666666,6.716666666666666,6.4366666666666665,7.0200000000000005,6.97,6.503333333333333,6.853333333333333,6.523333333333333,7.013333333333333,6.53
EL2003A-A2U1,7.053333333333334,6.913333333333334,6.54,7.399999999999999,6.733333333333333,7.156666666666666,7.0633333333333335,6.989999999999999,6.803333333333334,7.053333333333334,6.916666666666667,6.81,6.696666666666666,6.716666666666666,6.953333333333333,6.503333333333333,6.853333333333333,7.126666666666666,6.886666666666667,6.763333333333333,6.476666666666667,7.113333333333333,6.613333333333333,6.81,6.91,7.046666666666667,6.953333333333333,6.716666666666666,6.859999999999999,6.716666666666666,6.72,6.803333333333334,6.536666666666666,6.663333333333334,6.93,6.676666666666667,6.993333333333333,7.226666666666667,6.776666666666666,6.993333333333333,6.823333333333333,6.986666666666667,6.776666666666666
EL2003A-A4U1,6.916666666666667,6.88,6.723333333333334,7.403333333333333,6.736666666666667,7.276666666666666,7.006666666666667,7.04,6.94,7.23,6.6866666666666665,6.956666666666667,6.640000000000001,6.789999999999999,7.036666666666666,6.6066666666666665,6.8933333333333335,7.323333333333333,7.15,6.536666666666666,6.890000000000001,7.16,6.786666666666666,6.88,6.803333333333334,7.140000000000001,6.9366666666666665,6.8133333333333335,6.913333333333334,6.8566666666666665,6.88,6.8933333333333335,6.783333333333334,6.68,7.006666666666667,6.733333333333333,7.036666666666666,6.916666666666667,6.72,7.033333333333334,6.756666666666667,6.989999999999999,6.846666666666667
EL5001A,6.68,6.69,6.603333333333334,6.98,6.596666666666667,6.69,6.703333333333333,6.7,6.666666666666667,6.683333333333334,,6.78,6.636666666666667,6.636666666666667,6.946666666666666,6.546666666666667,6.6866666666666665,7.033333333333334,6.87,6.553333333333334,6.553333333333334,7.07,6.433333333333334,6.723333333333334,6.553333333333334,6.916666666666667,6.566666666666666,6.57,6.866666666666667,7.076666666666667,6.396666666666666,6.806666666666668,6.703333333333333,6.756666666666667,6.783333333333334,6.5,6.75,6.566666666666666,6.63,6.7700000000000005,6.6000000000000005,6.75,6.586666666666666
EL5003A,6.803333333333334,6.733333333333333,6.6066666666666665,7.13,6.546666666666667,6.823333333333333,6.830000000000001,6.859999999999999,6.983333333333333,6.763333333333333,6.65,6.95,6.853333333333333,6.63,6.973333333333334,6.506666666666667,6.8933333333333335,6.833333333333333,7.213333333333334,6.843333333333334,6.513333333333333,7.010000000000001,6.776666666666666,6.8,6.946666666666666,6.846666666666667,6.946666666666666,6.486666666666667,6.933333333333333,7.003333333333334,6.626666666666668,6.82,6.813333333333333,6.713333333333334,6.716666666666666,6.5200000000000005,6.883333333333333,6.986666666666667,6.79,6.829999999999999,6.653333333333333,6.926666666666667,6.716666666666666
