ligandName,Frames,mode,complex,receptor,ligand,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL,status
clean_pose_1,1,gb,3.361684159999541,25.76702687999949,35.3444216,-0.0001000000002644,-55.23260000000006,-5.494699999999889,9.302299999999988,-6.324664320000011,-60.72720000000004,2.977635679999977,-57.74956432000006,S
clean_pose_2,1,"gb,decomposition",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F_top
clean_pose_3,1,"gb,decomposition",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F_top
clean_pose_4,1,"gb,decomposition",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F_top
clean_pose_5,1,"gb,decomposition",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F_top
